ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
5845,0.022,0.000,0.030,0.000,C:\programs\python\projects\excercises\game\pygtest.py:51(apply_rect)
4,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:69(__init__)
88,0.000,0.000,0.003,0.000,C:\programs\python\projects\excercises\game\pygtest.py:83(init_sprite)
84,0.001,0.000,0.001,0.000,C:\programs\python\projects\excercises\game\pygtest.py:86(killsprite)
67,0.003,0.000,0.223,0.003,C:\programs\python\projects\excercises\game\pygtest.py:90(move)
67,0.000,0.000,0.112,0.002,C:\programs\python\projects\excercises\game\pygtest.py:111(sprites_face_me)
68,0.000,0.000,0.002,0.000,C:\programs\python\projects\excercises\game\pygtest.py:117(<setcomp>)
1,0.000,0.000,0.000,0.000,C:\Python\lib\contextlib.py:210(contextmanager)
68,0.001,0.000,0.003,0.000,C:\programs\python\projects\excercises\game\pygtest.py:115(get_los)
272,0.001,0.000,0.001,0.000,C:\programs\python\projects\excercises\game\pygtest.py:120(check_los)
14,0.000,0.000,0.002,0.000,C:\programs\python\projects\excercises\game\pygtest.py:136(__init__)
14,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:149(create_angle)
2002,0.020,0.000,0.117,0.000,C:\programs\python\projects\excercises\game\pygtest.py:156(update)
88,0.000,0.000,0.002,0.000,C:\programs\python\projects\excercises\game\pygtest.py:172(__init__)
88,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:187(init_image)
9,0.000,0.000,0.000,0.000,C:\Python\lib\functools.py:37(update_wrapper)
8,0.000,0.000,0.000,0.000,C:\Python\lib\functools.py:67(wraps)
78,0.001,0.000,0.112,0.001,C:\programs\python\projects\excercises\game\pygtest.py:232(change_angle)
5068,0.026,0.000,0.965,0.000,C:\programs\python\projects\excercises\game\pygtest.py:221(rotate_flow)
612,0.016,0.000,1.146,0.002,C:\programs\python\projects\excercises\game\pygtest.py:211(rotate_image)
88,0.000,0.000,0.003,0.000,C:\programs\python\projects\excercises\game\pygtest.py:199(__init__)
1,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:328(make_playable)
4,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:321(create_obj)
21,0.021,0.001,0.023,0.001,C:\programs\python\projects\excercises\game\pygtest.py:306(destroy_imgs)
22,0.001,0.000,0.089,0.004,C:\programs\python\projects\excercises\game\pygtest.py:297(init_imgs)
22,0.025,0.001,2.457,0.112,C:\programs\python\projects\excercises\game\pygtest.py:286(init_pg_objects)
22,0.000,0.000,0.001,0.000,C:\programs\python\projects\excercises\game\pygtest.py:281(init_sprite_groups)
1,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:275(load_objects)
1267,0.072,0.000,8.995,0.007,C:\programs\python\projects\excercises\game\pygtest.py:348(draw_game)
1,0.000,0.000,0.510,0.510,C:\programs\python\projects\excercises\game\pygtest.py:246(__init__)
1267,0.028,0.000,1.208,0.001,C:\programs\python\projects\excercises\game\pygtest.py:335(update)
1267,0.025,0.000,16.206,0.013,C:\programs\python\projects\excercises\game\pygtest.py:342(draw)
5068,0.024,0.000,0.989,0.000,C:\programs\python\projects\excercises\game\pygtest.py:240(update)
14,0.000,0.000,0.000,0.000,C:\Python\lib\collections\__init__.py:388(<genexpr>)
3,0.000,0.000,0.001,0.000,C:\Python\lib\collections\__init__.py:316(namedtuple)
1,0.025,0.025,27.506,27.506,C:\programs\python\projects\excercises\game\pygtest.py:368(mainloop)
1,0.000,0.000,0.000,0.000,C:\programs\python\projects\excercises\game\pygtest.py:409(<listcomp>)
1267,0.120,0.000,0.940,0.001,C:\programs\python\projects\excercises\game\pygtest.py:387(draw_grid)
1267,0.028,0.000,0.145,0.000,C:\programs\python\projects\excercises\game\pygtest.py:382(draw_FPS)
81,0.001,0.000,0.225,0.003,C:\programs\python\projects\excercises\game\pygtest.py:375(gamemode_controls)
80,0.012,0.000,1.497,0.019,C:\programs\python\projects\excercises\game\pygtest.py:482(resize)
1,0.000,0.000,28.016,28.016,C:\programs\python\projects\excercises\game\pygtest.py:406(__init__)
1,0.000,0.000,27.506,27.506,C:\programs\python\projects\excercises\game\pygtest.py:417(run)
1,0.000,0.000,0.441,0.441,C:\programs\python\projects\excercises\game\pygtest.py:440(quit)
8,0.001,0.000,0.884,0.110,C:\programs\python\projects\excercises\game\pygtest.py:461(change_resolution)
1267,0.014,0.000,5.417,0.004,C:\programs\python\projects\excercises\game\pygtest.py:444(events)
